id,name,code,institutionCode,campusCode,libraryCode,discoveryDisplayName,isActive,primaryServicePointCode,servicePointCodes,description,details.stackmapBaseUrl,details.pageAeonSite,details.pageMediationGroupKey,details.pageServicePointCodes,details.discoveryDisplayUrl,details.scanServicePointCode,details.availabilityClass,details.searchworksTreatTemporaryLocationAsPermanentLocation,details.searchworksGovDocsClassification,details.scanMaterialTypeNames,details.scanPseudopatronBarcode,details.holdingsTypeName,details.pagingSchedule
028aed16-e8ee-454d-b927-976fea5cd1cb,SAL Stacks,SAL-STACKS,SU,SUL,SAL,Stacks,true,SAL,SAL,,,,,,,GREEN,Offsite,,,,,,
0300cf11-85e0-45fa-9a69-f51bab7d1fcf,Art Maintenance Shelf Locked,ART-PROCESSING-LOCKED,SU,SUL,ART,In process,true,ART,ART,,,,,,,,In_process,,,,,,
03164a4b-a047-40b0-a4fb-682980524697,Marine Bio Expeditions,MAR-EXPEDITIONS,SU,SUL,MARINE-BIO,Locked stacks: Expedition,true,MARINE-BIO,MARINE-BIO,,,,,,,,,,,,,,
0373d725-4d67-4006-ad48-77c4c6095ba6,Earth Sci Reserves,EAR-CRES,SU,SUL,EARTH-SCI,On reserve: Ask at Earth Sciences circulation desk,true,EARTH-SCI,EARTH-SCI,,,,,,,,,true,,,,,
038bc3d8-585a-4bb8-9e3a-8f665e0bae62,Law Cookbooks,LAW-COOKBOOK,SU,LAW,LAW,Cookbooks,true,LAW,LAW,,,,,,,,,,,,,,
03981767-bad4-426c-b052-accc61daeb22,Green Withdrawn,GRE-WITHDRAWN,SU,SUL,GREEN,Ask at circulation desk,true,GREEN-LOAN,GREEN-LOAN,,,,,,,,,,,,,,
0440cbd8-9bb6-4d01-9852-4ba0f76097cc,ARS Special Projects,ARS-SPECIALPROJECTS,SU,SUL,ARS,In process,true,ARS,ARS,,,,,ARS,,,In_process,,,,,,
045ee992-0f9e-4079-88b6-1dc77f36e19a,Lane Spec: AV,LANE-SPAV,SU,MED,LANE,Medical History Center: By appointment only.,true,LANE-DESK,LANE-DESK,,,,,,https://lane.stanford.edu/med-history/contact.html,,,,,,,,
04c54d2f-0e14-42ab-97a6-27fc7f4d0610,ARS Stacks,ARS-STACKS,SU,SUL,ARS,Stacks,true,ARS,ARS,,,,,ARS,,,,,,,,,
059c5d69-c850-4301-a91b-caeef2bc59b4,Earth Sci Storage Maps,EAR-STOR-MAPS,SU,SUL,EARTH-SCI,Map storage: Ask at circulation desk,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
05c3ba7e-81ac-4ed7-93ad-e9fab5f3ac32,Media Microfiche Math,MEDIA-MATHCAB,SU,SUL,MEDIA-CENTER,Microfiche collection,true,MEDIA-CENTER,MEDIA-CENTER,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
06e128e7-2970-47d1-8dfa-fcd651803e1a,Earth Sci Map Cases,EAR-MAP-CASES,SU,SUL,EARTH-SCI,Map cases,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
08601677-5d55-459d-a499-b06114c940c2,SUL Borrow Direct,SUL-BORROW-DIRECT,SU,SUL,SUL,Borrow Direct,true,GREEN-LOAN,GREEN-LOAN,,,,,,,,,,,,,,
087e1422-1146-411a-880a-fa4839e22b55,Earth Sci Display - Circ,EAR-DISPLAY-CIRC,SU,SUL,EARTH-SCI,Display shelves: Circulation desk,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
08e54eef-c972-400e-924f-935c9f2a06ce,Spec U-Arch Reference,SPEC-UARCH-REF,SU,SUL,SPEC-COLL,University Archives Reference,true,SPEC,SPEC,,,SPECUA,,,,,,,,,,,
0902cbec-8afd-4307-948c-4995a48e160a,Spec Stacks,SPEC-STACKS,SU,SUL,SPEC-COLL,Stacks,true,SPEC,SPEC,,,SPECUA,,,,,,,,,,,
09bf0882-7c7c-4838-b27c-c2f4ab834016,Earth Sci Map Files,EAR-MAP-FILES,SU,SUL,EARTH-SCI,Map files,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
09c76b3a-71c5-4123-8053-b694239bf125,Lane Per: Newspapers,LANE-NEWS,SU,MED,LANE,Newspapers rack on first floor,true,LANE-DESK,LANE-DESK,,,,,,,,,,,,,,
0a28181f-e7b1-42f3-93a9-36c12ab4522f,SUL TS CC Kasemake,SUL-TS-CC-KASEMAKE,SU,SUL,SUL,In process,true,SULCC,SULCC,,,,,,,,In_process,,,,,,
0a72c06d-00ae-4249-8354-261cd2cb9ee7,Music Reference,MUS-REF,SU,SUL,MUSIC,Reference,true,MUSIC,MUSIC,,,,,,,,,,,,,,
0b6a8d36-2c4f-4fef-b894-d56c25e94ca0,Lane Spec: Mini,LANE-MINI,SU,MED,LANE,Medical History Center: By appointment only.,true,LANE-DESK,LANE-DESK,,,,,,https://lane.stanford.edu/med-history/contact.html,,,,,,,,
0ba00ec1-d86a-4360-a23e-dfd31182d36d,East Asia Folios Chinese,EAL-FOLIO-CHINESE,SU,SUL,EAST-ASIA,Chinese folios,true,EAST-ASIA,EAST-ASIA,,,,,,,,,,,,,,
0beebb31-c3fd-46e5-a12f-462cc7bbead3,SAL3 PAGE-ES,SAL3-PAGE-ES,SU,SUL,SAL3,For use in Branner Library,true,SAL3,SAL3,,,,,EARTH-SCI,,,Offsite,,,,,,
0c1a1c3a-e5f3-45c6-83fb-39c959d87209,Green SSRC Docs,GRE-SSRC-DOCS,SU,SUL,GREEN,Jonsson Social Sciences Reading Room: Atrium,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,Federal,,,,
0c2fe8d1-6d33-4f97-b4b4-118c5daff3a3,Eng Stacks Noncirculating,ENG-STK-NONCIRC,SU,SUL,ENG,Stacks,true,ENG,ENG,,,,,,,,,,,,,,
0c5e70d6-9c2b-45f9-b977-1c0a45795eb6,Tanner New Books,TAN-NEWBOOK,SU,SUL,TANNER,New books,true,TANNER,TANNER,,,,,,,,,,,,,,
0d9beb46-dc13-47ed-b11f-e3abd99ac7e5,SAL3 HY Page to East-Asia,SAL3-HY-PAGE-EA,SU,SUL,SAL3,Harvard-Yenching collection: Request for pickup at East Asia Library,true,SAL3,SAL3,,,,,EAST-ASIA,,EAST-ASIA,Offsite,,,"book,periodical",EAL-SCANREVIEW,,
0dcd4d7d-784e-4b49-90e2-b5f98bb3b69d,Lane Digital: Collection,LANE-ECOLL,SU,MED,LANE,Digital: Collection,true,LANE-DESK,LANE-DESK,,,,,,,,,,,,,Electronic,
0de5278f-1ef9-4341-aa7c-3e04f643777d,Marine Bio Maps,MAR-MAPS,SU,SUL,MARINE-BIO,Map cases,true,MARINE-BIO,MARINE-BIO,,,,,,,,,,,,,,
0e4c10cd-c2a0-45d5-a6cc-f94d75fc2f17,Spec PAGE-FC,SPEC-PAGE-FC,SU,SUL,SPEC-COLL,Facsimile collection,true,SPEC,SPEC,,,SPECUA,,,,,,,,,,,
0edeef57-074a-4f07-aee2-9f09d55e65c3,Law Basement,LAW-BASEMENT,SU,LAW,LAW,Basement,true,LAW,LAW,,,,,,,,,,,,,,
0f3ba658-6f33-4269-a023-e6e95b0306f1,Earth Sci Theses,EAR-THESES,SU,SUL,EARTH-SCI,Theses,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
0f9ceeb7-9dbe-4be8-9b99-6796fe10acf7,Spec MSS 20,SPEC-MSS-20,SU,SUL,SPEC-COLL,Manuscript Collection,true,SPEC,SPEC,,,SPECUA,,,,,,,,,,,
103c1ddd-5a11-49e3-b0c0-aee4909b1db3,Green Repair Eval Shelf,GRE-REPAIR-EVALUATION,SU,SUL,GREEN,In process,true,GREEN-LOAN,GREEN-LOAN,,,,,,,,,,,,,,
1146c4fa-5798-40e1-9b8e-92ee4c9f2ee2,SAL3 Stacks,SAL3-STACKS,SU,SUL,SAL3,Stacks,true,SAL3,SAL3,,,,,,,SAL3,Offsite,,,,,,
115bddea-d154-4fe4-8f92-4a172bd41b91,Spec Sal Taube,SPEC-SAL-TAUBE,SU,SUL,SPEC-COLL,Taube Collection,true,SPEC,SPEC,,,,,,,,,,,,,,
11941fdf-26e7-4413-9b63-483fd555c378,Business PAGE-BU,BUS-PAGE-BU,SU,GSB,BUSINESS,Ask at i-Desk,true,BUS-IDESK,BUS-IDESK,,,,,BUS-IDESK,,,,,,,,,
123d9cba-85a8-42e0-b130-c82e504c64d6,Art Circ Desk,ART-ATCIRCDESK,SU,SUL,ART,Ask at circulation desk,true,ART,ART,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
12ccfee2-4676-4a82-add3-885defed6440,Lane Spec: Theses,LANE-RTHSS,SU,MED,LANE,Medical History Center: By appointment only.,true,LANE-DESK,LANE-DESK,,,,,,https://lane.stanford.edu/med-history/contact.html,,,,,,,,
1345aaab-bb28-42b0-b6ad-a8981fe806e6,SAL HY Page to East-Asia,SAL-HY-PAGE-EA,SU,SUL,SAL,Harvard-Yenching collection: Request for pickup at East Asia Library,true,SAL,SAL,,,,,EAST-ASIA,,EAST-ASIA,Offsite,,,"book,periodical",EAL-SCANREVIEW,,
134d4758-f07d-4ba7-98b3-cacbe2e29652,Business SAL3 PAGE-BU,BUS-SAL3-PAGE-BU,SU,GSB,BUSINESS,Request for pickup at Business Library,true,SAL3,SAL3,,,,,BUS-IDESK,,,Offsite,,,,,,SAL3
13c2ee3e-5d88-453e-bb64-890e2936bebf,Earth Sci Stacks,EAR-STACKS,SU,SUL,EARTH-SCI,Stacks,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
13d50f50-8dee-4dfd-82fb-7da97f67d779,Spec Newton,SPEC-NEWTON,SU,SUL,SPEC-COLL,Newton Collection,true,SPEC,SPEC,,,SPECUA,,,,,,,,,,,
148e598c-bb58-4e6d-b313-4933e6a4534c,Business Instructor,BUS-INSTRUCTOR,SU,GSB,BUSINESS,On reserve: Ask at i-Desk,true,BUS-IDESK,BUS-IDESK,,,,,,,,,,,,,,
14f81e2e-e4fe-4455-a0df-fb26ee5c723e,Lane Digital: Image,LANE-IMAGE,SU,MED,LANE,Digital: Image,true,LANE-DESK,LANE-DESK,,,,,,,,,,,,,Electronic,
150b8273-b10b-4907-b43f-a3d4f89bc79f,Spec SAL3 U-Archives,SPEC-SAL3-U-ARCHIVES,SU,SUL,SPEC-COLL,University Archives,true,SAL3,SAL3,,,SPECUA,,,,,,,,,,,
1564e5df-d1a6-41b7-bd6a-f150c3f8b9bf,Lane Spec: Storage,LANE-STRG,SU,MED,LANE,Medical History Center: By appointment only.,true,LANE-DESK,LANE-DESK,,,,,,https://lane.stanford.edu/med-history/contact.html,,,,,,,,
156a50fe-b288-447f-82c4-618ba8e4565a,Lane Spec: Old Class,LANE-SPOLD,SU,MED,LANE,Medical History Center: By appointment only.,true,LANE-DESK,LANE-DESK,,,,,,https://lane.stanford.edu/med-history/contact.html,,,,,,,,
158168a3-ede4-4cc1-8c98-61f4feeb22ea,SAL3 Shelved Elsewhere,SAL3-SEE-OTHER,SU,SUL,SAL3,See linked record to request items bound together,true,SAL3,SAL3,,,,,,,,,,,,,,
17e1aae1-9b25-4e37-ac2f-34316628bc8e,Green LL Newspapers,GRE-LL-NEWSPAPERS,SU,SUL,GREEN,Lower Level: Newspapers,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
18464b12-20ad-420b-bdf5-43d78d1d1470,Music Permanent Reserve,MUS-PERMRES,SU,SUL,MUSIC,Permanent reserve: Ask at circulation desk,true,MUSIC,MUSIC,,,,,,,,,,,,,,
18a321cc-a47b-4aca-9159-a782d58f85f9,SAL3 PAGE-FC,SAL3-PAGE-FC,SU,SUL,SAL3,"For use in Art & Architecture Library, Music Library or Special Collections",true,SAL3,SAL3,,,,,"ART,MUSIC,SPEC",,,Offsite,,,,,,
18bf3c41-aec3-442d-aa8a-5f8079682616,Green HAS Ready Reference,GRE-HAS-READYREF,SU,SUL,GREEN,Lane Reading Room: Reference,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
18e5ca74-f919-426d-bd84-6118ee344e40,Eng Withdrawn Digital Substitute,ENG-WD-DIGITAL-SUB,SU,SUL,ENG,Digital substitute,true,ENG,ENG,,,,,,,,,,,,,,
198f1e45-948d-4d30-9437-f93240beb659,Art Reserves,ART-CRES,SU,SUL,ART,On reserve: Ask at Art circulation desk ,true,ART,ART,,https://stanford.stackmap.com/json/,,,,,,,true,,,,,
1a2856e5-fe97-4731-974e-951d778c41a0,Green Current Periodicals,GRE-CURRENTPER,SU,SUL,GREEN,Current periodicals,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
1a6a6a2c-ecf3-460e-bce1-588efa4cfd35,East Asia Reserves,EAL-CRES,SU,SUL,EAST-ASIA,On reserve: Ask at East Asia circulation desk,true,EAST-ASIA,EAST-ASIA,,https://stanford.stackmap.com/json/,,,,,,,true,,,,,
1ab2a2be-ccb5-43db-b711-9f1ff3025383,Education Withdrawn Digital Substitute,EDU-WD-DIGITAL-SUB,SU,SUL,EDUCATION,Digital substitute,true,EDUCATION,EDUCATION,,,,,,,,,,,,,,
1af5b924-b048-4e13-b556-c6cf7f7e9cb0,Education Historical Curriculum,EDU-CURRSTOR,SU,SUL,EDUCATION,Historical Curriculum,true,EDUCATION,EDUCATION,,,,,,,,,,,,,,
1af90de1-a5c0-4c46-bab1-2847d041f997,Green Bender Room,GRE-BENDER,SU,SUL,GREEN,Bender room,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
1b14e21c-8d47-45c7-bc49-456a0086422b,SUL SDR,SUL-SDR,SU,SUL,SUL,Stanford Digital Repository,true,Online,Online,,,,,,,,,,,,,,
1b3fb003-3ca4-4734-9887-169cb5c7bb04,Green Hohbach Exhibits,GRE-HH-EXHIBIT,SU,SUL,GREEN,Hohbach Hall: Exhibits,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
1b5e9078-cc98-4908-8935-b9928750affd,Law Staff Shadow,LAW-STAFFSHADOW,SU,LAW,LAW,Ask at circulation desk,true,LAW,LAW,,,,,,,,,,,,,,
1b685cda-b6e7-4ea5-8cad-f4e7aaada701,Science Stacks,SCI-STACKS,SU,SUL,SCIENCE,Stacks,true,SCIENCE,SCIENCE,,,,,,,,,,,,,,
1bad78dc-2688-436f-9bac-cf8c633d8707,HILA Cataloging Backlog,HILA-CAT-BACKLOG,SU,HOOVER,HILA,In process: Cataloging backlog,true,HILA,HILA,,,,,,,,,,,,,,
1c10041e-a401-43e2-88b1-916689bedf19,SAL migration error,SAL-MIGRATE-ERR,SU,SUL,SAL,Error during migration,true,SAL,SAL,,,,,,,GREEN,Offsite,,,,,,
1c124c92-b4fc-4d49-a5ae-69e71de2eb1e,Law Manning,LAW-MANNING,SU,LAW,LAW,Manning collection,true,LAW,LAW,,,,,,,,,,,,,,
1daf9ff9-a60c-402f-8498-41189ac51096,SAL South Mezzanine,SAL-SOUTH-MEZZ,SU,SUL,SAL,Stacks,true,SAL,SAL,,,,,,,GREEN,Offsite,,,,,,
1de1c838-7fc7-43f8-bebc-977dd1d8180b,Music Tech Services Shadow,MUS-TECHSHADOW,SU,SUL,MUSIC,Ask at circulation desk,true,MUSIC,MUSIC,,,,,,,,,,,,,,
1df525dc-b705-4b3a-bac1-c8091bc2ec52,Tanner Folios,TAN-FOLIO,SU,SUL,TANNER,Folios,true,TANNER,TANNER,,,,,,,,,,,,,,
1ef5e49c-8b3c-4c64-9ba7-468bc4113ac5,Education Maintenance Shelf,EDU-PROCESSING,SU,SUL,EDUCATION,In process,true,EDUCATION,EDUCATION,,,,,,,,,,,,,,
1f0e3f18-99d4-4400-95a1-0f55d092f201,Earth Sci Scanning Lab,EAR-SCANLAB,SU,SUL,EARTH-SCI,In process,true,EARTH-SCI,EARTH-SCI,,,,,,,,In_process,,,,,,
1f3a8d48-2de3-432d-923e-76eb93de9ffc,Spec SAL3 Rare Books,SPEC-SAL3-RBC,SU,SUL,SPEC-COLL,Rare Books Collection,true,SAL3,SAL3,,,SPECUA,,,,,,,,,,,
203157ff-56bc-4d5d-9f68-3410d9ac40e9,Earth Sci Ready Ref,EAR-READY-REF,SU,SUL,EARTH-SCI,Reference,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
2034f7e2-9dfe-4920-87d2-92d455bd5533,Rumsey migration erorr,RUM-MIGRATE-ERR,SU,SUL,RUMSEY-MAP,Error during migration,true,RUMSEY-MAP,RUMSEY-MAP,,,RUMSEY,,,,,,,,,,,
203882d5-acd0-40b6-bc73-1cf8d64832cb,Green Federal Docs,GRE-FED-DOCS,SU,SUL,GREEN,US Federal Documents,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,Federal,,,,
2065af65-904d-41bb-8db8-35bff753cf64,Spec Inprocess RWC,SPEC-INPROCESS-RWC,SU,SUL,SPEC-COLL,In process,true,SPEC,SPEC,,,,,,,,In_process,,,,,,
20981666-b567-4124-b18e-f4713823e51f,Music Inprocess,MUS-INPROCESS,SU,SUL,MUSIC,In process,true,MUSICTS,MUSICTS,,,,,,,,In_process,,,,,,
20a17444-e2c4-449c-9e18-72cb903ccc08,Music Instructor,MUS-INSTRUCTOR,SU,SUL,MUSIC,On reserve: Ask at circulation desk,true,MUSIC,MUSIC,,,,,,,,,,,,,,
215204ef-7cce-4de5-b9b0-545c99d80d7a,SUL Acquisitions,SUL-ACQUISITIONS,SU,SUL,SUL,In process,true,SULTS,SULTS,,,,,,,,In_process,,,,,,
21885937-53af-4940-83df-7e7e5c385ef9,Law Media,LAW-MEDIA,SU,LAW,LAW,Media,true,LAW,LAW,,,,,,,,,,,,,,
21b7083b-1013-440e-8e62-64169824dcb8,Green SSRC CSLI,GRE-SSRC-CSLI,SU,SUL,GREEN,Jonsson Social Sciences Reading Room: CSLI publications,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
21c8748f-6a84-417e-b61f-18ee7171a10e,Art Shelved Elsewhere,ART-SEE-OTHER,SU,SUL,ART,See linked record to request items bound together,true,ART,ART,,,,,,,,,,,,,,
221108de-614f-4c61-811c-b690a7d806cd,SAL Folios,SAL-FOLIO,SU,SUL,SAL,Folios,true,SAL,SAL,,,,,,,GREEN,Offsite,,,,,,
229d1dee-b10a-4e34-8c37-fc762c7979c8,Lane Ref: Retired,LANE-RREF,SU,MED,LANE,Retired Reference (Downstairs),true,LANE-DESK,LANE-DESK,,,,,,,,,,,,,,
22f586cf-1bfc-4ba7-9990-47a40f2c3ecc,Lane In Repair,LANE-REPAIR,SU,MED,LANE,In repair,true,LANE-DESK,LANE-DESK,,,,,,,,,,,,,,
23278c12-5e77-4f13-8e4f-3609c3ca7abd,Law Instructor,LAW-INSTRUCTOR,SU,LAW,LAW,On reserve: Teaming room,true,LAW,LAW,,,,,,,,,,,,,,
2380b032-7624-4674-8580-6ea7f89ea519,SAL Temp,SAL-TEMP,SU,SUL,SAL,Stacks,true,SAL,SAL,,,,,,,GREEN,Offsite,,,,,,
2504ac9b-b034-42c7-b3fd-267a1cb3e61f,Rumsey W7 Box Large,RUM-W7-BOX-LG,SU,SUL,RUMSEY-MAP,Map Center (W7 large box),true,RUMSEY-MAP,RUMSEY-MAP,,,RUMSEY,,,,,,,,,,,
25b19d0e-ac10-44cf-a5be-d7c15b209200,Marine Bio Withdrawn Digital Substitute,MAR-WD-DIGITAL-SUB,SU,SUL,MARINE-BIO,Digital substitute,true,MARINE-BIO,MARINE-BIO,,,,,,,,,,,,,,
2636a2b1-e60c-4a7d-889a-8bfd61ecec26,Education Locked Stacks,EDU-LOCKED,SU,SUL,EDUCATION,Locked stacks,true,EDUCATION,EDUCATION,,,,EDUCATION,SPEC,,,,,,,,,
266cc9fd-f444-4b6b-9a7f-6424de7ba224,Science Popular Science,SCI-POPSCI,SU,SUL,SCIENCE,Popular science,true,SCIENCE,SCIENCE,,,,,,,,,,,,,,
2680e0fa-90a9-4a38-9042-ad4e7673c94c,Science Reserves,SCI-CRES,SU,SUL,SCIENCE,On reserve: Ask at Science circulation desk,true,SCIENCE,SCIENCE,,,,,,,,,true,,,,,
26836d26-5046-473b-96d6-861b660d7938,Law - Display,LAW - DISPLAY,SU,LAW,LAW,Law - Display,true,LAW,LAW,Used for temporary displays at the Law Library.,,,,,,,,,,,,,
26d1a668-747b-4f1d-a2af-317b37316360,Lane Spec: Manuscipts,LANE-MSS,SU,MED,LANE,Medical History Center: By appointment only.,true,LANE-DESK,LANE-DESK,,,,,,https://lane.stanford.edu/med-history/contact.html,,,,,,,,
271f84ab-47aa-40cc-b8a1-18a992bb6b88,Spec Rare Books,SPEC-RARE-BOOKS,SU,SUL,SPEC-COLL,Rare Books Collection,true,SPEC,SPEC,,,SPECUA,,,,,,,,,,,
28254e87-d2eb-4f6c-877c-322b016cd313,Education New Books,EDU-NEWBOOK,SU,SUL,EDUCATION,New books,true,EDUCATION,EDUCATION,,,,,,,,,,,,,,
286cdd37-a62c-434d-89d0-587977d80cd0,Art Locked Stacks Medium Restricted,ART-LOCKED-MEDIUM-R,SU,SUL,ART,Locked stacks (Medium),true,ART,ART,,,,ART,ART,,,,,,,,,
28875c44-d924-4e5f-99ab-99b94261f1b4,East Asia Courtesy Hold Shelf,EAL-COURTESY-HOLD,SU,SUL,EAST-ASIA,Ask at circulation desk,true,EAST-ASIA,EAST-ASIA,,,,,,,,,,,,,,
29503544-ff29-4333-a642-81388526e467,Green Send to SAL3,GRE-SEND2SAL3,SU,SUL,GREEN,Ask at circulation desk,true,GREEN-LOAN,GREEN-LOAN,,,,,,,,,,,,,,
296b2814-6944-454f-8960-c47851054f1f,Earth Sci Locked Stacks,EAR-LOCKED-STACKS,SU,SUL,EARTH-SCI,Locked stacks: Ask at circulation desk,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
2a1f9ce7-dfac-4ff9-81a2-7d72b2cd5c1b,East Asia Staff Shadow,EAL-STAFFSHADOW,SU,SUL,EAST-ASIA,Ask at circulation desk,true,EAST-ASIA,EAST-ASIA,,,,,,,,,,,,,,
2a2b2cfe-c4c4-4196-8f47-079a392f112b,Education Stacks,EDU-STACKS,SU,SUL,EDUCATION,Stacks,true,EDUCATION,EDUCATION,,,,,,,,,,,,,,
2a539904-d0e3-4220-ba19-2a358c4f22ed,Spec Tech Services Shadow,SPEC-TECHSHADOW,SU,SUL,SPEC-COLL,Ask at Reading Room desk,true,SPEC,SPEC,,,,,,,,,,,,,,
2a5d1ead-04bc-4150-91e1-ffbf07af7e65,Green Docs Microfilm,GRE-DOCS-MICROFILM,SU,SUL,GREEN,Bing Wing lower level: Microform cabinets,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
2a97bb70-8780-4fc1-ae1f-0d14b7fd47ad,Green Withdrawn Digital Substitute,GRE-WD-DIGITAL-SUB,SU,SUL,GREEN,Digital substitute,true,GREEN-LOAN,GREEN-LOAN,,,,,,,,,,,,,,
2b4eca5b-69d3-4b43-b965-e7ea01abec26,Tanner migration error,TAN-MIGRATE-ERR,SU,SUL,TANNER,Error during migration,true,TANNER,TANNER,,,,,,,,,,,,,,
2ba8ca4d-f9aa-494b-b0ae-2437987c7f75,ARS Recordings,ARS-RECORDINGS,SU,SUL,ARS,Recordings,true,ARS,ARS,,,ARS,,,,,,,,,,,
2bee7d79-6911-45ca-a0a9-9eb54e408716,Rumsey Center Stacks Small,RUM-C-STK-SM,SU,SUL,RUMSEY-MAP,Map Center (small stacks),true,RUMSEY-MAP,RUMSEY-MAP,,,RUMSEY,,,,,,,,,,,
2d85630c-4733-42a1-a229-19e1e3393ab4,SAL Withdrawn Digital Substitute,SAL-WD-DIGITAL-SUB,SU,SUL,SAL,Digital substitute,true,SAL,SAL,,,,,,,,,,,,,,
2daf690d-d063-43ab-95f1-236a680fce20,Earth Sci SGC,EAR-SGC,SU,SUL,EARTH-SCI,Stanford Geospatial Center,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
2dafa4f6-4648-4297-ac56-e181f5ed471b,Green HAS New Books,GRE-HAS-NEWBOOK,SU,SUL,GREEN,Lane Reading Room: New books,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
2dcdfd4b-b62e-4579-830c-8d99246bbed6,Earth Sci Instructor,EAR-INSTRUCTOR,SU,SUL,EARTH-SCI,On reserve: Ask at circulation desk,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
2e422165-a930-4e54-a305-964a89c96a1f,Rumsey Center Withdrawn Digital Substitute,RUM-WD-DIGITAL-SUB,SU,SUL,RUMSEY-MAP,Digital substitute,true,RUMSEY-MAP,RUMSEY-MAP,,,,,,,,,,,,,,
